customer_id,age,gender,income,region,education,marital_status,tenure_months,total_spend,num_orders,avg_order_value,recency_days,satisfaction_score,website_visits_per_month,discount_sensitivity,preferred_channel,pct_electronics,pct_clothing,pct_home_garden,pct_sports,pct_books,gender_encoded,channel_encoded,education_encoded,marital_encoded,segment,pca1,pca2,R,F,M,clv_proxy,engagement_score,price_sensitivity,category_diversity,segment_name
CUST-10001,43,Female,44572,Central,Master,Married,22,912,39,23,24,7.0,98,57.9,Mobile App,17.8,52.3,2.0,28.0,0.0,0,1,2,1,3,-2.003166486036214,0.1352999688860176,3,2,1,497.45454545454544,2.5128205128205128,251.7391304347826,3,Bargain Hunters
CUST-10002,36,Non-binary,23185,Central,Bachelor,Divorced,37,960,58,20,14,5.8,150,9.2,Online,41.7,16.9,4.7,36.7,0.0,2,2,0,0,3,-1.9295883907128508,-0.2660076033180261,3,5,1,311.35135135135135,2.586206896551724,46.0,3,Bargain Hunters
CUST-10003,45,Male,96917,East,Master,Married,30,2197,50,43,5,7.7,127,46.3,Mobile App,38.6,14.3,17.8,29.2,0.0,1,1,2,1,1,0.9858578122833759,2.037439044863004,4,5,4,878.8,2.54,107.67441860465115,4,Loyal Customers
CUST-10004,56,Non-binary,42116,East,Bachelor,Single,20,301,32,20,3,7.2,82,76.0,In-Store,18.9,44.3,5.9,16.8,14.2,2,0,0,2,3,-2.658710338519073,0.06891104146440165,5,1,1,180.60000000000002,2.5625,380.0,4,Bargain Hunters
CUST-10005,35,Male,38390,North,Bachelor,Single,44,1392,69,20,16,6.6,177,39.5,In-Store,13.7,29.0,2.1,29.2,26.0,1,0,0,2,3,-1.9269704714685167,0.6941620149078692,3,5,2,379.6363636363636,2.5652173913043477,197.5,4,Bargain Hunters
CUST-10006,35,Male,108496,Central,Bachelor,Single,25,3130,39,80,23,8.6,101,46.1,Mobile App,5.4,35.5,18.6,12.3,28.2,1,1,0,2,2,2.8795699078231407,0.3594082985869396,3,2,5,1502.4,2.58974358974359,57.62500000000001,4,VIP Big Spenders
CUST-10007,56,Male,26340,Central,PhD,Married,20,1355,34,39,106,6.0,88,27.2,In-Store,28.8,50.5,13.7,7.1,0.0,1,0,3,1,0,-0.4373386179818977,-2.3900482483666803,1,1,2,813.0,2.588235294117647,69.74358974358974,3,At Risk
CUST-10008,47,Male,27923,East,Bachelor,Single,14,1785,26,68,6,7.7,66,27.0,Mobile App,40.2,24.9,26.0,8.9,0.0,1,1,0,2,0,1.107967332719356,-0.2769840714613135,4,1,3,1530.0,2.5384615384615383,39.705882352941174,3,At Risk
CUST-10009,32,Female,28336,West,High School,Married,26,1368,44,31,1,6.9,112,27.4,Mobile App,21.0,31.4,15.4,4.0,28.3,0,1,1,1,1,-1.102133845663733,0.9989369218192161,5,4,2,631.3846153846154,2.5454545454545454,88.38709677419354,4,Loyal Customers
CUST-10010,44,Male,47385,West,PhD,Single,26,1180,41,28,37,6.4,106,39.6,In-Store,42.7,35.9,10.3,11.1,0.0,1,0,3,2,0,-1.0429407704549825,-0.7744228544373359,2,3,2,544.6153846153846,2.5853658536585367,141.42857142857144,4,At Risk
CUST-10011,32,Male,60828,North,High School,Single,20,2721,34,80,5,6.6,87,30.8,Online,31.9,30.6,24.6,2.3,10.6,1,2,1,2,2,2.1001918975411464,-0.6852242457797986,4,1,5,1632.6000000000001,2.5588235294117645,38.5,4,VIP Big Spenders
CUST-10012,32,Female,70957,West,Master,Married,22,2059,39,52,16,8.6,99,21.3,Mobile App,8.6,36.1,40.2,12.3,2.7,0,1,2,1,2,1.492160422194467,0.676339943287097,3,2,4,1123.090909090909,2.5384615384615383,40.96153846153846,3,VIP Big Spenders
CUST-10013,40,Male,177370,West,High School,Single,27,4361,46,94,44,7.8,116,80.3,Mobile App,25.5,30.1,10.6,14.9,19.0,1,1,1,2,2,3.855493228115627,1.5751864914322682,2,4,5,1938.2222222222222,2.5217391304347827,85.42553191489361,5,VIP Big Spenders
CUST-10014,18,Female,15919,West,Master,Married,32,200,58,20,1,6.5,148,31.0,Mobile App,36.2,25.0,12.3,26.5,0.0,0,1,2,1,3,-2.961280076614433,1.1898797780363133,5,5,1,75.0,2.5517241379310347,155.0,4,Bargain Hunters
CUST-10015,18,Male,66460,South,High School,Divorced,23,826,37,22,3,7.2,95,47.6,Mobile App,32.0,22.5,36.0,9.5,0.0,1,1,1,0,3,-1.7426811198013286,0.26534918690298376,5,2,1,430.9565217391304,2.5675675675675675,216.36363636363635,3,Bargain Hunters
CUST-10016,31,Female,37102,North,PhD,Married,26,665,45,20,2,8.0,116,40.0,Mobile App,35.9,30.6,25.1,8.4,0.0,0,1,3,1,3,-2.0816962206817835,1.2505118459330558,5,4,1,306.9230769230769,2.577777777777778,200.0,3,Bargain Hunters
CUST-10017,25,Female,36563,East,Bachelor,Single,22,1566,38,41,5,7.2,96,38.6,Online,16.7,53.8,19.8,9.7,0.0,0,2,0,2,1,-0.3019142130371871,0.2656275736772197,4,2,3,854.1818181818182,2.526315789473684,94.14634146341464,3,Loyal Customers
CUST-10018,41,Male,35958,West,Bachelor,Divorced,24,2189,41,53,2,7.8,110,37.6,Mobile App,21.7,47.9,23.5,6.9,0.0,1,1,0,0,0,0.9110843956752704,-0.4702111497987074,5,3,4,1094.5,2.682926829268293,70.9433962264151,3,At Risk
CUST-10019,27,Male,31120,South,High School,Single,30,1171,50,23,9,6.6,130,75.2,Online,22.9,38.3,30.2,8.6,0.0,1,2,1,2,3,-2.6597799764440055,0.5850463332107815,4,5,2,468.4,2.6,326.95652173913044,3,Bargain Hunters
CUST-10020,21,Male,113807,West,Bachelor,Married,18,2637,28,94,38,7.1,72,23.0,Mobile App,21.2,17.9,30.9,30.0,0.0,1,1,0,1,2,3.0242130785267176,-0.9314631937257489,2,1,5,1758.0,2.5714285714285716,24.46808510638298,4,VIP Big Spenders
CUST-10021,55,Female,74693,South,Master,Single,31,2802,55,50,1,6.1,141,25.0,Mobile App,28.5,40.3,15.3,15.9,0.0,0,1,2,2,1,1.443897867539103,1.1532674643437641,5,5,5,1084.6451612903227,2.5636363636363635,50.0,4,Loyal Customers
CUST-10022,35,Male,49592,North,Bachelor,Single,21,2207,37,59,1,7.4,94,56.8,Mobile App,12.2,24.0,51.0,1.2,11.6,1,1,0,2,1,0.9249657153839065,0.6013683123946317,5,2,4,1261.1428571428573,2.5405405405405403,96.27118644067795,4,Loyal Customers
CUST-10023,38,Male,96327,West,High School,Divorced,21,1770,33,53,22,6.6,88,62.2,Online,22.1,47.3,15.9,14.8,0.0,1,2,1,0,0,0.9666529309495137,-1.9403301607284185,3,1,3,1011.4285714285716,2.6666666666666665,117.35849056603773,4,At Risk
CUST-10024,20,Male,23011,South,Bachelor,Married,35,1574,54,29,20,8.2,139,7.2,Mobile App,9.6,61.8,2.5,4.9,21.2,1,1,0,1,1,-0.6156575258198143,1.0739924564092478,3,5,3,539.6571428571428,2.574074074074074,24.82758620689655,2,Loyal Customers
CUST-10025,31,Male,25201,Central,Bachelor,Married,23,778,44,20,18,6.4,114,39.8,Mobile App,6.4,39.6,36.1,3.3,14.6,1,1,0,1,3,-2.438440465258788,-0.3138918420802639,3,4,1,405.9130434782609,2.590909090909091,198.99999999999997,3,Bargain Hunters
CUST-10026,39,Female,16498,Central,High School,Married,23,1456,40,36,19,6.4,101,50.5,Mobile App,16.0,39.3,20.3,24.4,0.0,0,1,1,1,1,-1.000030955734271,0.05766680959872554,3,3,3,759.6521739130435,2.525,140.27777777777777,4,Loyal Customers
CUST-10027,24,Female,34554,South,High School,Married,24,517,40,20,39,7.4,103,38.0,Mobile App,10.0,55.7,17.4,17.0,0.0,0,1,1,1,3,-2.270688043334795,-0.2706792967566885,2,3,1,258.5,2.575,190.0,3,Bargain Hunters
CUST-10028,42,Male,53148,West,Master,Divorced,20,2209,33,66,22,6.6,83,27.9,In-Store,9.4,26.5,40.8,4.8,18.5,1,0,2,0,0,1.2711110273400936,-0.5863358711331164,3,1,4,1325.4,2.515151515151515,42.27272727272727,3,At Risk
CUST-10029,30,Male,51607,West,PhD,Married,23,765,41,20,17,7.0,105,24.4,Online,28.9,38.5,5.6,7.1,19.9,1,2,3,1,3,-1.5200987284813867,-0.04627071123051369,3,3,1,399.1304347826087,2.5609756097560976,122.0,3,Bargain Hunters
CUST-10030,34,Female,52821,North,High School,Married,25,2127,44,48,1,7.3,112,40.9,Online,18.3,52.0,19.3,10.5,0.0,0,2,1,1,1,0.5432821946640288,1.3846891211219599,5,4,4,1020.96,2.5454545454545454,85.20833333333333,4,Loyal Customers
CUST-10031,30,Female,24208,North,Master,Married,28,1255,51,24,108,6.0,132,19.5,Online,25.6,50.4,10.0,14.0,0.0,0,2,2,1,3,-1.5314909652487696,-0.6796942458075496,1,5,2,537.8571428571429,2.588235294117647,81.25,3,Bargain Hunters
CUST-10032,60,Male,73245,East,High School,Divorced,24,1578,43,36,6,6.5,110,37.7,Mobile App,23.4,37.0,17.2,21.4,1.0,1,1,1,0,1,0.27216976718126573,0.6628403127334609,4,4,3,789.0,2.558139534883721,104.72222222222223,4,Loyal Customers
CUST-10033,37,Male,55260,North,Bachelor,Single,29,2297,49,46,58,7.7,124,44.8,Online,10.3,34.0,25.2,17.1,13.4,1,2,0,2,1,0.40033053736297863,1.1475436168615483,1,5,4,950.4827586206898,2.5306122448979593,97.39130434782608,5,Loyal Customers
CUST-10034,25,Male,70723,West,Bachelor,Married,31,1301,51,25,12,6.6,127,24.0,Online,14.7,32.9,28.7,23.8,0.0,1,2,0,1,1,-1.012979160992048,1.8299716579024616,4,5,2,503.61290322580646,2.4901960784313726,96.0,4,Loyal Customers
CUST-10035,47,Female,19027,East,Bachelor,Single,22,1656,38,43,32,7.4,97,53.8,Mobile App,27.2,37.9,16.1,18.7,0.0,0,1,0,2,0,-0.31586489485932534,-0.4813296690047341,2,2,3,903.2727272727273,2.5526315789473686,125.11627906976743,4,At Risk
CUST-10036,23,Male,57282,North,Bachelor,Single,21,1562,36,43,16,7.5,91,21.5,Online,23.8,36.5,25.7,14.1,0.0,1,2,0,2,1,0.31220011437551465,0.22897369623491995,3,2,3,892.5714285714286,2.5277777777777777,50.0,4,Loyal Customers
CUST-10037,40,Female,27068,South,Master,Single,32,518,52,20,12,7.5,130,30.2,Online,48.7,20.7,21.3,6.5,2.8,0,2,2,2,3,-2.303554704422543,1.936688248724118,4,5,1,194.25,2.5,151.0,3,Bargain Hunters
